City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,Nome,64.5011,-165.4064,12.27,73,0,17.27,US,2023-01-15 06:42:52
194,Upernavik,72.7868,-56.1549,1.45,58,99,6.33,GL,2023-01-15 06:42:53
195,Geraldton,-28.7667,114.6,84.61,42,0,24.16,AU,2023-01-15 06:38:53
196,Namie,37.4833,141.0,48.72,73,100,2.84,JP,2023-01-15 06:42:53
197,Nanortalik,60.1432,-45.2371,17.13,79,8,21.54,GL,2023-01-15 06:42:54
198,Mahebourg,-20.4081,57.7,84.49,65,75,16.11,MU,2023-01-15 06:42:54
199,Massaguet,12.4755,15.4365,66.49,23,1,11.74,TD,2023-01-15 06:42:55
200,Itarema,-2.9248,-39.9167,77.18,85,100,10.87,BR,2023-01-15 06:42:55
201,Iqaluit,63.7506,-68.5145,-23.31,61,0,9.22,CA,2023-01-15 06:38:33
202,Talnakh,69.4865,88.3972,-38.97,87,3,3.98,RU,2023-01-15 06:42:56
203,Leningradskiy,69.3833,178.4167,-26.59,100,100,4.43,RU,2023-01-15 06:42:56
204,Provideniya,64.3833,-173.3,0.36,87,68,15.05,RU,2023-01-15 06:42:57
205,Olafsvik,64.8945,-23.7142,22.08,66,3,14.41,IS,2023-01-15 06:42:57
206,Puerto Narino,-3.7703,-70.3831,71.29,99,100,1.83,CO,2023-01-15 06:42:57
207,Kodiak,57.79,-152.4072,35.11,100,0,3.44,US,2023-01-15 06:42:58
208,Carutapera,-1.195,-46.02,73.76,94,100,2.17,BR,2023-01-15 06:42:58
209,Lazarev,52.225,141.5131,-17.5,85,7,7.14,RU,2023-01-15 06:42:59
210,Gamba,-2.65,10.0,76.14,88,100,8.21,GA,2023-01-15 06:42:59
211,Riosucio,5.4216,-75.7032,57.79,99,100,1.83,CO,2023-01-15 06:43:00
212,Mersing,2.4312,103.8405,84.11,84,40,5.75,MY,2023-01-15 06:43:00
213,Namatanai,-3.6667,152.4333,82.78,73,20,6.24,PG,2023-01-15 06:43:00
214,Kirakira,-10.4544,161.9205,79.32,85,100,8.3,SB,2023-01-15 06:43:01
215,Butaritari,3.0707,172.7902,81.25,76,100,10.56,KI,2023-01-15 06:43:02
216,Bosaso,11.2842,49.1816,80.58,69,0,3.44,SO,2023-01-15 06:43:02
217,Matadi,-5.8167,13.45,77.27,91,99,1.81,CD,2023-01-15 06:43:03
218,Bradford,53.7939,-1.7521,39.49,91,75,19.57,GB,2023-01-15 06:38:28
219,Pacifica,37.6138,-122.4869,53.65,89,100,17.0,US,2023-01-15 06:43:05
220,Roxas,11.5853,122.7511,79.14,85,100,6.17,PH,2023-01-15 06:43:07
221,Newport,51.5877,-2.9984,43.83,88,12,25.19,GB,2023-01-15 06:38:56
